feature,abs_importance
chiral=unspecified,2.047380998847075
deg=4,0.7369625760184135
numH=0,0.6535587816906627
charge=0,0.6413313327357173
deg=3,0.48292905124253593
Z=C,0.46801587493973784
hyb=sp3,0.3131893994650454
numH=2,0.2729763695206202
aromatic,0.21263582697429229
numH=1,0.19720916169171687
hyb=sp2,0.16010813463026352
chiral=CW,0.1225784990383545
deg=2,0.08540438539239403
Z=N,0.08218271449140957
in_ring,0.07450636578141712
Z=S,0.04512780220829882
numH=3,0.0414568219607645
Z=O,0.03153649394209879
deg=1,0.02057405417508562
chiral=CCW,0.01646023864145718
Z=F,0.012165812593593728
Z=Cl,0.01062994947506013
Z=Br,0.004243431998474989
Z=P,0.004078948957612738
charge=1,0.003848412788101996
hyb=sp,0.003560474928235635
Z=other,0.001872069522505626
charge=-1,0.0012934948505858301
Z=Si,0.0006113622739576385
deg=0,0.00046670032179463306
Z=Zn,0.00045623996993526816
Z=I,0.0002485664822415856
hyb=other,0.00020482071408878255
Z=K,4.803623596671969e-05
Z=Na,4.1834409216789936e-05
Z=B,0.0
Z=Ca,0.0
Z=Mg,0.0
Z=H,0.0
Z=Fe,0.0
hyb=sp3d,0.0
deg=5,0.0
Z=Cu,0.0
hyb=sp3d2,0.0
charge=-2,0.0
charge=2,0.0
numH=4,0.0
