feature,abs_IG
chiral=unspecified,1.5132345
deg=4,0.60392505
numH=0,0.53716356
charge=0,0.5093032
deg=3,0.33192068
Z=C,0.30088764
numH=2,0.2570015
hyb=sp3,0.24008933
numH=1,0.17822199
hyb=sp2,0.13141993
aromatic,0.11850309
Z=N,0.1151856
deg=2,0.07505134
chiral=CW,0.06383313
numH=3,0.04358288
in_ring,0.042940397
chiral=CCW,0.036649715
Z=O,0.023272958
deg=1,0.013773652
Z=Fe,0.0
Z=Ca,0.0
Z=Mg,0.0
Z=Na,0.0
Z=Si,0.0
Z=F,0.0
Z=H,0.0
Z=B,0.0
Z=K,0.0
Z=Cl,0.0
Z=S,0.0
Z=P,0.0
hyb=sp3d2,0.0
hyb=sp3d,0.0
deg=5,0.0
hyb=sp,0.0
Z=I,0.0
Z=Br,0.0
deg=0,0.0
Z=other,0.0
Z=Zn,0.0
Z=Cu,0.0
charge=1,0.0
charge=-1,0.0
hyb=other,0.0
charge=2,0.0
charge=-2,0.0
numH=4,0.0
