feature,abs_IG
chiral=unspecified,6.639605
numH=0,2.180032
deg=3,1.9330881
charge=0,1.5551766
Z=C,1.341651
Z=N,0.90550274
deg=2,0.73836875
numH=1,0.7162275
hyb=sp2,0.5442847
aromatic,0.46211612
numH=2,0.41670725
in_ring,0.13612908
Z=Cl,0.04190038
hyb=sp3,0.016677571
deg=1,0.001257781
Z=Fe,0.0
Z=Ca,0.0
Z=Mg,0.0
Z=Na,0.0
Z=K,0.0
Z=S,0.0
Z=P,0.0
Z=Si,0.0
Z=H,0.0
Z=F,0.0
Z=O,0.0
Z=B,0.0
Z=other,0.0
Z=I,0.0
Z=Cu,0.0
Z=Zn,0.0
hyb=sp3d2,0.0
hyb=sp3d,0.0
deg=5,0.0
hyb=sp,0.0
deg=4,0.0
Z=Br,0.0
deg=0,0.0
hyb=other,0.0
charge=1,0.0
charge=2,0.0
charge=-2,0.0
charge=-1,0.0
numH=4,0.0
numH=3,0.0
chiral=CW,0.0
chiral=CCW,0.0
