fp_bits,fp_density,fp_gen_secs,train_frac,repeat,n_pos_train,n_neg_train,n_pos_test,n_neg_test,model,inner_cv_splits,inner_cv_metric,inner_cv_mean,best_params,fit_secs,pred_secs,ROC-AUC,PRC-AUC,Average Precision,Accuracy,F1 Score,MCC,Recall,Precision,TN,FP,FN,TP,False Positive Rate
1024,0.045539844781160355,2.3731164932250977,0.05,0,19,38,94,188,XGBoost,5,roc_auc,0.8071428571428572,"{""learning_rate"": 0.03, ""max_depth"": 6, ""n_estimators"": 600}",7.181086778640747,0.002698659896850586,0.8367756903576279,0.7082104758802135,0.7098101517749719,0.7730496453900709,0.6952380952380952,0.5248548179973894,0.776595744680851,0.6293103448275862,145,43,21,73,0.22872340425531915
1024,0.045539844781160355,2.3731164932250977,0.05,0,19,38,94,188,LogReg,5,roc_auc,0.8535714285714286,"{""C"": 0.1}",0.1669447422027588,0.0013468265533447266,0.773596650067904,0.550461440734703,0.5557824437854267,0.7092198581560284,0.4533333333333333,0.2891309617137047,0.3617021276595745,0.6071428571428571,166,22,60,34,0.11702127659574468
1024,0.045539844781160355,2.3731164932250977,0.05,0,19,38,94,188,SVM,5,roc_auc,0.8410714285714287,"{""C"": 0.1, ""kernel"": ""linear""}",0.07730817794799805,0.004095792770385742,0.7294024445450431,0.505969705278589,0.5139267538193075,0.723404255319149,0.6138613861386139,0.4023398993836123,0.6595744680851063,0.5740740740740741,142,46,32,62,0.24468085106382978
1024,0.045539844781160355,2.3731164932250977,0.05,0,19,38,94,188,RandomForest,5,roc_auc,0.819047619047619,"{""max_depth"": 10, ""n_estimators"": 200}",1.1642091274261475,0.033240556716918945,0.7526878678134903,0.5742473783385625,0.5769394029790201,0.7198581560283688,0.4397163120567376,0.30949951567605416,0.32978723404255317,0.6595744680851063,172,16,63,31,0.0851063829787234
1024,0.045539844781160355,2.3731164932250977,0.05,1,19,38,94,188,XGBoost,5,roc_auc,0.8339285714285716,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 600}",0.46543025970458984,0.0016937255859375,0.8033329560887279,0.656321835732034,0.6583030855991228,0.7375886524822695,0.6185567010309279,0.4193139346887673,0.6382978723404256,0.6,148,40,34,60,0.2127659574468085
1024,0.045539844781160355,2.3731164932250977,0.05,1,19,38,94,188,LogReg,5,roc_auc,0.9023809523809524,"{""C"": 0.1}",0.03573203086853027,0.003589153289794922,0.7819714803078316,0.5909016155787068,0.5951509634636958,0.7198581560283688,0.49032258064516127,0.32277494620889613,0.40425531914893614,0.6229508196721312,165,23,56,38,0.12234042553191489
1024,0.045539844781160355,2.3731164932250977,0.05,1,19,38,94,188,SVM,5,roc_auc,0.8892857142857142,"{""C"": 0.1, ""kernel"": ""linear""}",0.031670570373535156,0.0032150745391845703,0.7318922589406972,0.5390261324274275,0.5441691666179453,0.6524822695035462,0.6048387096774194,0.3575839402862625,0.7978723404255319,0.487012987012987,109,79,19,75,0.42021276595744683
1024,0.045539844781160355,2.3731164932250977,0.05,1,19,38,94,188,RandomForest,5,roc_auc,0.862797619047619,"{""max_depth"": 10, ""n_estimators"": 200}",1.0790467262268066,0.03495502471923828,0.7395880488909008,0.5689882664013508,0.5743629604452711,0.7198581560283688,0.4148148148148148,0.3058813569240747,0.2978723404255319,0.6829268292682927,175,13,66,28,0.06914893617021277
1024,0.045539844781160355,2.3731164932250977,0.05,2,19,38,94,188,XGBoost,5,roc_auc,0.8880952380952382,"{""learning_rate"": 0.03, ""max_depth"": 6, ""n_estimators"": 300}",0.379497766494751,0.001562356948852539,0.8768673607967405,0.7215641917221657,0.7240791886599675,0.8120567375886525,0.7414634146341463,0.600497659899527,0.8085106382978723,0.6846846846846847,153,35,18,76,0.18617021276595744
1024,0.045539844781160355,2.3731164932250977,0.05,2,19,38,94,188,LogReg,5,roc_auc,0.8970238095238094,"{""C"": 0.01}",0.0424957275390625,0.0009398460388183594,0.8005885015844273,0.5740547035173327,0.579616727134403,0.6808510638297872,0.375,0.20352497093256997,0.2872340425531915,0.54,165,23,67,27,0.12234042553191489
