Fold,Model,ROC-AUC,PRC-AUC,Average Precision,Accuracy,F1 Score,MCC,Recall,Precision,TN,FP,FN,TP,False Positive Rate,InnerCV ROC-AUC (mean),Best Params
1,Logistic Regression,0.8825543232231778,0.812437858244702,0.8148113288581043,0.8368794326241135,0.7294117647058823,0.6216376084990834,0.6595744680851063,0.8157894736842105,174,14,32,62,0.07446808510638298,0.7171917818829635,"{""C"": 0.01}"
1,SVM,0.9067168401991852,0.8215848104150134,0.8227164351443216,0.8297872340425532,0.7073170731707317,0.6036724982763436,0.6170212765957447,0.8285714285714286,176,12,36,58,0.06382978723404255,0.7137696882382557,"{""C"": 10, ""kernel"": ""rbf""}"
1,Random Forest,0.9225611136260752,0.8710274440495999,0.8716356933174294,0.8049645390070922,0.5985401459854015,0.5580097802533767,0.43617021276595747,0.9534883720930233,186,2,53,41,0.010638297872340425,0.7314480833430155,"{""max_depth"": 20, ""n_estimators"": 100}"
1,Decision Tree,0.7626754187415119,0.6785963147613887,0.6009384623081345,0.7695035460992907,0.5517241379310345,0.44951378537160996,0.425531914893617,0.7843137254901961,177,11,54,40,0.05851063829787234,0.6272036760776112,"{""max_depth"": 10, ""min_samples_split"": 2}"
1,KNN,0.7597894975101855,0.7634298095860426,0.6862341704631625,0.8014184397163121,0.6111111111111112,0.5383563747248625,0.46808510638297873,0.88,182,6,50,44,0.031914893617021274,0.6384937926493939,"{""n_neighbors"": 3, ""weights"": ""distance""}"
1,XGBoost,0.907905160706202,0.8552845570682674,0.8559759978605369,0.8262411347517731,0.6993865030674846,0.5949367913237045,0.6063829787234043,0.8260869565217391,176,12,37,57,0.06382978723404255,0.7079226861856629,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 100}"
2,Logistic Regression,0.8385298777727479,0.7279970345076378,0.7305444964968574,0.7907801418439716,0.6467065868263473,0.509495597539024,0.574468085106383,0.7397260273972602,169,19,40,54,0.10106382978723404,0.7620333155183765,"{""C"": 0.01}"
2,SVM,0.857939112720688,0.748139892781481,0.7494933612987709,0.7872340425531915,0.6103896103896104,0.4962698699133202,0.5,0.7833333333333333,175,13,47,47,0.06914893617021277,0.7540962410441113,"{""C"": 10, ""kernel"": ""rbf""}"
2,Random Forest,0.8848743775464012,0.7960598680175159,0.7973272493353079,0.7730496453900709,0.5076923076923077,0.473376558200402,0.35106382978723405,0.9166666666666666,185,3,61,33,0.015957446808510637,0.7583710855505209,"{""max_depth"": 20, ""n_estimators"": 100}"
2,Decision Tree,0.7615436849253056,0.728700373407503,0.5753750278709578,0.7801418439716312,0.6593406593406593,0.4978868184374418,0.6382978723404256,0.6818181818181818,160,28,34,60,0.14893617021276595,0.642496898648387,"{""max_depth"": null, ""min_samples_split"": 5}"
2,KNN,0.7242530556813036,0.7086397306804537,0.624191181721566,0.7624113475177305,0.5379310344827586,0.42996970774675736,0.4148936170212766,0.7647058823529411,176,12,55,39,0.06382978723404255,0.6584234413849193,"{""n_neighbors"": 3, ""weights"": ""distance""}"
2,XGBoost,0.8604289271163422,0.7747604013808352,0.7760612240771531,0.776595744680851,0.5714285714285714,0.46854594786946185,0.44680851063829785,0.7924528301886793,177,11,52,42,0.05851063829787234,0.7329769257581039,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 100}"
3,Logistic Regression,0.8087652784065187,0.6571467299923506,0.6647293320135435,0.7695035460992907,0.6012269938650306,0.454951663953421,0.5212765957446809,0.7101449275362319,168,20,45,49,0.10638297872340426,0.7519450803609466,"{""C"": 0.01}"
3,SVM,0.8156405613399729,0.6876429700907093,0.6906273575361118,0.7588652482269503,0.5,0.42257712736425834,0.3617021276595745,0.8095238095238095,180,8,60,34,0.0425531914893617,0.7520060601835715,"{""C"": 1, ""kernel"": ""rbf""}"
3,Random Forest,0.8159517881394296,0.6901934900844218,0.6924458849716071,0.7553191489361702,0.4888888888888889,0.4125841558510775,0.35106382978723405,0.8048780487804879,180,8,61,33,0.0425531914893617,0.7633380999961272,"{""max_depth"": 20, ""n_estimators"": 50}"
3,Decision Tree,0.6674400181077411,0.5940574235670807,0.4755132784085192,0.6914893617021277,0.5084745762711864,0.2861032303638905,0.4787234042553192,0.5421686746987951,150,38,49,45,0.20212765957446807,0.6605352077766159,"{""max_depth"": null, ""min_samples_split"": 10}"
3,KNN,0.6704391127206881,0.6322048908389362,0.5478381466126879,0.7446808510638298,0.5068493150684932,0.3814796925825054,0.39361702127659576,0.7115384615384616,173,15,57,37,0.0797872340425532,0.6435805646566748,"{""n_neighbors"": 3, ""weights"": ""distance""}"
3,XGBoost,0.8332956088727931,0.7084566962462533,0.7104169027499532,0.7446808510638298,0.5443037974683544,0.3891169283710928,0.4574468085106383,0.671875,167,21,51,43,0.11170212765957446,0.7357716184500988,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 100}"
4,Logistic Regression,0.8481213218650973,0.7101625111497976,0.7176205112336321,0.7943262411347518,0.6419753086419753,0.5158296849554642,0.5531914893617021,0.7647058823529411,172,16,42,52,0.0851063829787234,0.7732175361140158,"{""C"": 0.01}"
4,SVM,0.8623811679492983,0.7474958798091984,0.7515328439892168,0.7695035460992907,0.5637583892617449,0.44931309652674556,0.44680851063829785,0.7636363636363637,175,13,52,42,0.06914893617021277,0.7793033205530382,"{""C"": 10, ""kernel"": ""rbf""}"
4,Random Forest,0.8568356722498869,0.7353114077457279,0.736289562408966,0.7730496453900709,0.5616438356164384,0.45906878259928613,0.43617021276595747,0.7884615384615384,177,11,53,41,0.05851063829787234,0.8090346833972349,"{""max_depth"": null, ""n_estimators"": 100}"
4,Decision Tree,0.7066263014938887,0.6479800182424655,0.5276262920497028,0.7340425531914894,0.5714285714285714,0.38237857884125925,0.5319148936170213,0.6172839506172839,157,31,44,50,0.16489361702127658,0.6983320181247821,"{""max_depth"": null, ""min_samples_split"": 10}"
4,KNN,0.7572713897691263,0.7186706125152493,0.6360518750516204,0.7659574468085106,0.5217391304347826,0.4422319942582257,0.3829787234042553,0.8181818181818182,180,8,58,36,0.0425531914893617,0.6691295302273343,"{""n_neighbors"": 3, ""weights"": ""distance""}"
4,XGBoost,0.820422136713445,0.7030322400751798,0.7056754085455037,0.7659574468085106,0.547945205479452,0.439671510095091,0.425531914893617,0.7692307692307693,176,12,54,40,0.06382978723404255,0.79456824909957,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 100}"
5,Logistic Regression,0.8582786328655501,0.8091511985899019,0.8100346030980882,0.8120567375886525,0.6490066225165563,0.5619514869490164,0.5212765957446809,0.8596491228070176,180,8,45,49,0.0425531914893617,0.7645340955036598,"{""C"": 0.01}"
5,SVM,0.8623528746038931,0.8213431999673398,0.8221366144409672,0.8262411347517731,0.6620689655172414,0.6058664063704309,0.5106382978723404,0.9411764705882353,185,3,46,48,0.015957446808510637,0.7576578908640254,"{""C"": 10, ""kernel"": ""rbf""}"
5,Random Forest,0.8886373924852875,0.8476837302994018,0.8465409449423164,0.8297872340425532,0.6666666666666666,0.6171402344406961,0.5106382978723404,0.96,186,2,46,48,0.010638297872340425,0.7765411200185895,"{""max_depth"": null, ""n_estimators"": 100}"
5,Decision Tree,0.757214803078316,0.7216321887459443,0.6153856226513501,0.7836879432624113,0.6257668711656442,0.4899479457959919,0.5425531914893617,0.7391304347826086,170,18,43,51,0.09574468085106383,0.6645129615429302,"{""max_depth"": null, ""min_samples_split"": 10}"
5,KNN,0.7284687641466728,0.7505039259297748,0.6629029708213632,0.7978723404255319,0.5899280575539568,0.5340712195115447,0.43617021276595747,0.9111111111111111,184,4,53,41,0.02127659574468085,0.6644281011579722,"{""n_neighbors"": 3, ""weights"": ""distance""}"
5,XGBoost,0.871123811679493,0.8235087703569137,0.8242732224895764,0.8156028368794326,0.6486486486486487,0.5735393346764044,0.5106382978723404,0.8888888888888888,182,6,46,48,0.031914893617021274,0.7675209558111613,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 100}"
