Fold,Model,ROC-AUC,PRC-AUC,Average Precision,Accuracy,F1 Score,MCC,Recall,Precision,TN,FP,FN,TP,FPR,InnerCV ROC-AUC (mean),Best Params
1,Logistic Regression,0.7922048289967976,0.16130826186181058,0.16808541073799316,0.644362292051756,0.1286231884057971,0.14982124911734263,0.7553191489361702,0.0702970297029703,1672,939,23,71,0.35963232477977786,0.8279705263157895,"{""model__C"": 0.01}"
1,SVM,0.8095985071343008,0.24122606966170063,0.24650155235766685,0.55637707948244,0.11764705882352941,0.14565537259187145,0.851063829787234,0.0631911532385466,1425,1186,14,80,0.45423209498276523,0.8306947368421053,"{""model__C"": 10, ""model__kernel"": ""rbf""}"
1,KNN,0.7560525436573581,0.3437764586134882,0.2585687594027989,0.9515711645101663,0.38497652582159625,0.36284639367367,0.43617021276595747,0.3445378151260504,2533,78,53,41,0.02987361164304864,0.6965990643274854,"{""model__n_neighbors"": 3, ""model__weights"": ""distance""}"
1,Random Forest,0.8333116031193721,0.40106495463587916,0.4009412412172186,0.6761552680221812,0.14785992217898833,0.1848571349140986,0.8085106382978723,0.08137044967880086,1753,858,18,76,0.32860972807353506,0.8517934502923976,"{""model__max_depth"": null, ""model__n_estimators"": 200}"
1,Decision Tree,0.7110526658898114,0.2923887574485009,0.07152223658164193,0.7042513863216266,0.12854030501089325,0.1331754107375301,0.6276595744680851,0.07160194174757281,1846,765,35,59,0.2929911911145155,0.7126280701754386,"{""model__max_depth"": 10, ""model__min_samples_split"": 5}"
1,XGBoost,0.8052592550339399,0.2811148172353664,0.28393273361668325,0.6195933456561923,0.12574341546304163,0.14981207713430034,0.7872340425531915,0.06832871652816251,1602,1009,20,74,0.3864419762543087,0.824557192982456,"{""model__learning_rate"": 0.1, ""model__max_depth"": 6, ""model__n_estimators"": 100}"
2,Logistic Regression,0.7557123299950291,0.15108763821339224,0.15815225686224457,0.6735674676524954,0.13004926108374384,0.14480563711677896,0.7021276595744681,0.07166123778501629,1756,855,28,66,0.32746074301034084,0.8004102923976608,"{""model__C"": 0.01}"
2,SVM,0.7656253819764174,0.2246675671333336,0.23080176663143465,0.6314232902033272,0.12467076382791922,0.14379342264338946,0.7553191489361702,0.06794258373205742,1637,974,23,71,0.3730371505170433,0.8047340350877192,"{""model__C"": 10, ""model__kernel"": ""rbf""}"
2,KNN,0.7399647155650807,0.358638248881116,0.2740800616265822,0.9412199630314233,0.3614457831325301,0.34404015813706207,0.4787234042553192,0.2903225806451613,2501,110,49,45,0.04212945231711988,0.6942818713450292,"{""model__n_neighbors"": 3, ""model__weights"": ""distance""}"
2,Random Forest,0.7888943667136583,0.3588805784989103,0.362062056077199,0.723105360443623,0.1459521094640821,0.16374826385469804,0.6808510638297872,0.08173690932311622,1892,719,30,64,0.2753734201455381,0.8447022222222221,"{""model__max_depth"": null, ""model__n_estimators"": 200}"
2,Decision Tree,0.7491117775043392,0.23650349263739667,0.0953948109796045,0.7571164510166358,0.1500646830530401,0.160162096386975,0.6170212765957447,0.08541973490427099,1990,621,36,58,0.23783990808119496,0.7477478362573099,"{""model__max_depth"": 10, ""model__min_samples_split"": 10}"
2,XGBoost,0.7793235656021578,0.21037465279105216,0.21546367923713022,0.688724584103512,0.14081632653061224,0.16434486130253506,0.7340425531914894,0.07787810383747178,1794,817,25,69,0.31290693220988125,0.8196229239766082,"{""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__n_estimators"": 200}"
3,Logistic Regression,0.8180834766169316,0.16721493147099584,0.17174420542152025,0.6735674676524954,0.1468599033816425,0.18350244154210238,0.8085106382978723,0.08076514346439957,1746,865,18,76,0.33129069322098814,0.7711101754385965,"{""model__C"": 0.01}"
3,SVM,0.8272386873864257,0.3599912689473862,0.3634258268327144,0.5526802218114603,0.11807580174927114,0.1479353482149106,0.8617021276595744,0.06338028169014084,1414,1197,13,81,0.4584450402144772,0.7866049122807017,"{""model__C"": 1, ""model__kernel"": ""rbf""}"
3,KNN,0.778196989822111,0.33529458232688963,0.2420000497611959,0.9430683918669132,0.35833333333333334,0.33878980239496886,0.4574468085106383,0.2945205479452055,2508,103,51,43,0.03944848716966679,0.6908856140350877,"{""model__n_neighbors"": 3, ""model__weights"": ""distance""}"
3,Random Forest,0.8231826071367454,0.3449613090782394,0.3458113851556436,0.6983364140480591,0.15176715176715178,0.18522536007735887,0.776595744680851,0.08410138248847926,1816,795,21,73,0.3044810417464573,0.8190657309941519,"{""model__max_depth"": null, ""model__n_estimators"": 200}"
3,Decision Tree,0.6898758933155145,0.3041187544383276,0.06707789065177007,0.6950092421441775,0.12513255567338283,0.12830182333200452,0.6276595744680851,0.06949352179034157,1821,790,35,59,0.30256606664113367,0.7141955555555555,"{""model__max_depth"": 10, ""model__min_samples_split"": 5}"
3,XGBoost,0.790399863099652,0.18507740602745637,0.18763447173528422,0.6310536044362292,0.12914485165794065,0.15503173569123785,0.7872340425531915,0.07034220532319392,1633,978,20,74,0.3745691306013022,0.7980687719298245,"{""model__learning_rate"": 0.1, ""model__max_depth"": 6, ""model__n_estimators"": 100}"
4,Logistic Regression,0.7722137112217541,0.13323364161361517,0.13682529176377983,0.6754158964879852,0.137524557956778,0.16127354576980174,0.7446808510638298,0.07575757575757576,1757,854,24,70,0.32707774798927614,0.8084818713450292,"{""model__C"": 0.01}"
4,SVM,0.7899292681535566,0.22825952626160567,0.23591699247606754,0.6011090573012939,0.12205044751830757,0.14544280095117829,0.7978723404255319,0.06607929515418502,1551,1060,19,75,0.4059747223286097,0.8095621052631579,"{""model__C"": 10, ""model__kernel"": ""rbf""}"
4,KNN,0.7242395104182795,0.28649578574041734,0.21154413313797393,0.9423290203327171,0.3333333333333333,0.3110221278435378,0.4148936170212766,0.2785714285714286,2510,101,55,39,0.038682497127537345,0.708105730994152,"{""model__n_neighbors"": 3, ""model__weights"": ""distance""}"
