Strategy,Fold,Model,best_params
kmeans,1,Logistic Regression,"{""C"": 0.01}"
kmeans,1,SVM,"{""C"": 1, ""kernel"": ""rbf""}"
kmeans,1,Random Forest,"{""max_depth"": 20, ""n_estimators"": 300}"
kmeans,1,Decision Tree,"{""max_depth"": null, ""min_samples_split"": 10}"
kmeans,1,KNN,"{""n_neighbors"": 3, ""weights"": ""distance""}"
kmeans,1,XGBoost,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 500}"
kmeans,2,Logistic Regression,"{""C"": 0.01}"
kmeans,2,SVM,"{""C"": 1, ""kernel"": ""rbf""}"
kmeans,2,Random Forest,"{""max_depth"": 20, ""n_estimators"": 300}"
kmeans,2,Decision Tree,"{""max_depth"": 10, ""min_samples_split"": 10}"
kmeans,2,KNN,"{""n_neighbors"": 3, ""weights"": ""distance""}"
kmeans,2,XGBoost,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 500}"
kmeans,3,Logistic Regression,"{""C"": 0.01}"
kmeans,3,SVM,"{""C"": 10, ""kernel"": ""rbf""}"
kmeans,3,Random Forest,"{""max_depth"": null, ""n_estimators"": 300}"
kmeans,3,Decision Tree,"{""max_depth"": null, ""min_samples_split"": 10}"
kmeans,3,KNN,"{""n_neighbors"": 5, ""weights"": ""distance""}"
kmeans,3,XGBoost,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 200}"
kmeans,4,Logistic Regression,"{""C"": 0.01}"
kmeans,4,SVM,"{""C"": 10, ""kernel"": ""rbf""}"
kmeans,4,Random Forest,"{""max_depth"": 20, ""n_estimators"": 300}"
kmeans,4,Decision Tree,"{""max_depth"": 10, ""min_samples_split"": 10}"
kmeans,4,KNN,"{""n_neighbors"": 3, ""weights"": ""distance""}"
kmeans,4,XGBoost,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 500}"
kmeans,5,Logistic Regression,"{""C"": 0.01}"
kmeans,5,SVM,"{""C"": 10, ""kernel"": ""rbf""}"
kmeans,5,Random Forest,"{""max_depth"": null, ""n_estimators"": 300}"
kmeans,5,Decision Tree,"{""max_depth"": 10, ""min_samples_split"": 5}"
kmeans,5,KNN,"{""n_neighbors"": 3, ""weights"": ""distance""}"
kmeans,5,XGBoost,"{""learning_rate"": 0.03, ""max_depth"": 6, ""n_estimators"": 200}"
