Strategy,Fold,Model,best_params
none,1,Logistic Regression,"{""C"": 0.01}"
none,1,SVM,"{""C"": 10, ""kernel"": ""rbf""}"
none,1,Random Forest,"{""max_depth"": 20, ""n_estimators"": 300}"
none,1,Decision Tree,"{""max_depth"": null, ""min_samples_split"": 10}"
none,1,KNN,"{""n_neighbors"": 7, ""weights"": ""uniform""}"
none,1,XGBoost,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 200}"
none,2,Logistic Regression,"{""C"": 0.01}"
none,2,SVM,"{""C"": 10, ""kernel"": ""rbf""}"
none,2,Random Forest,"{""max_depth"": null, ""n_estimators"": 300}"
none,2,Decision Tree,"{""max_depth"": null, ""min_samples_split"": 10}"
none,2,KNN,"{""n_neighbors"": 7, ""weights"": ""uniform""}"
none,2,XGBoost,"{""learning_rate"": 0.03, ""max_depth"": 6, ""n_estimators"": 500}"
none,3,Logistic Regression,"{""C"": 0.01}"
none,3,SVM,"{""C"": 10, ""kernel"": ""rbf""}"
none,3,Random Forest,"{""max_depth"": 20, ""n_estimators"": 300}"
none,3,Decision Tree,"{""max_depth"": null, ""min_samples_split"": 10}"
none,3,KNN,"{""n_neighbors"": 7, ""weights"": ""uniform""}"
none,3,XGBoost,"{""learning_rate"": 0.03, ""max_depth"": 6, ""n_estimators"": 200}"
none,4,Logistic Regression,"{""C"": 0.01}"
none,4,SVM,"{""C"": 10, ""kernel"": ""rbf""}"
none,4,Random Forest,"{""max_depth"": 20, ""n_estimators"": 300}"
none,4,Decision Tree,"{""max_depth"": null, ""min_samples_split"": 10}"
none,4,KNN,"{""n_neighbors"": 7, ""weights"": ""uniform""}"
none,4,XGBoost,"{""learning_rate"": 0.03, ""max_depth"": 6, ""n_estimators"": 200}"
none,5,Logistic Regression,"{""C"": 0.01}"
none,5,SVM,"{""C"": 10, ""kernel"": ""rbf""}"
none,5,Random Forest,"{""max_depth"": null, ""n_estimators"": 300}"
none,5,Decision Tree,"{""max_depth"": null, ""min_samples_split"": 10}"
none,5,KNN,"{""n_neighbors"": 7, ""weights"": ""uniform""}"
none,5,XGBoost,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 200}"
