Strategy,Fold,Model,best_params
random,1,Logistic Regression,"{""C"": 0.01}"
random,1,SVM,"{""C"": 10, ""kernel"": ""rbf""}"
random,1,Random Forest,"{""max_depth"": null, ""n_estimators"": 100}"
random,1,Decision Tree,"{""max_depth"": null, ""min_samples_split"": 5}"
random,1,KNN,"{""n_neighbors"": 7, ""weights"": ""distance""}"
random,1,XGBoost,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 500}"
random,2,Logistic Regression,"{""C"": 0.01}"
random,2,SVM,"{""C"": 10, ""kernel"": ""rbf""}"
random,2,Random Forest,"{""max_depth"": null, ""n_estimators"": 300}"
random,2,Decision Tree,"{""max_depth"": null, ""min_samples_split"": 10}"
random,2,KNN,"{""n_neighbors"": 7, ""weights"": ""distance""}"
random,2,XGBoost,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 500}"
random,3,Logistic Regression,"{""C"": 0.01}"
random,3,SVM,"{""C"": 10, ""kernel"": ""rbf""}"
random,3,Random Forest,"{""max_depth"": null, ""n_estimators"": 100}"
random,3,Decision Tree,"{""max_depth"": null, ""min_samples_split"": 10}"
random,3,KNN,"{""n_neighbors"": 7, ""weights"": ""distance""}"
random,3,XGBoost,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 200}"
random,4,Logistic Regression,"{""C"": 0.01}"
random,4,SVM,"{""C"": 10, ""kernel"": ""rbf""}"
random,4,Random Forest,"{""max_depth"": null, ""n_estimators"": 300}"
random,4,Decision Tree,"{""max_depth"": 10, ""min_samples_split"": 5}"
random,4,KNN,"{""n_neighbors"": 7, ""weights"": ""distance""}"
random,4,XGBoost,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200}"
random,5,Logistic Regression,"{""C"": 0.01}"
random,5,SVM,"{""C"": 10, ""kernel"": ""rbf""}"
random,5,Random Forest,"{""max_depth"": null, ""n_estimators"": 300}"
random,5,Decision Tree,"{""max_depth"": 10, ""min_samples_split"": 5}"
random,5,KNN,"{""n_neighbors"": 7, ""weights"": ""distance""}"
random,5,XGBoost,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 500}"
