Strategy,Fold,Model,ROC-AUC,PRC-AUC,Accuracy,F1 Score,MCC,Recall,Precision,False Positives,False Positive Rate
kmeans,1,Logistic Regression,0.8841953372566772,0.8229815742309556,0.8226950354609929,0.7191011235955056,0.5921565254637922,0.6808510638297872,0.7619047619047619,20,0.10638297872340426
kmeans,1,SVM,0.9057548664554096,0.8414514019976921,0.8262411347517731,0.6918238993710691,0.5953857786779655,0.5851063829787234,0.8461538461538461,10,0.05319148936170213
kmeans,1,Random Forest,0.9229572204617474,0.8588590486901742,0.8120567375886525,0.6293706293706294,0.5691247242376977,0.4787234042553192,0.9183673469387755,4,0.02127659574468085
kmeans,1,Decision Tree,0.7871208691715709,0.7279620739915411,0.776595744680851,0.6701570680628273,0.5014606694539411,0.6808510638297872,0.6597938144329897,33,0.17553191489361702
kmeans,1,KNN,0.7683340878225441,0.7747686262415128,0.7943262411347518,0.6081081081081081,0.516185401208764,0.4787234042553192,0.8333333333333334,9,0.047872340425531915
kmeans,1,XGBoost,0.9200147125396106,0.8678549333629456,0.8546099290780141,0.7657142857142857,0.6650062240717552,0.7127659574468085,0.8271604938271605,14,0.07446808510638298
kmeans,2,Logistic Regression,0.8769805341783612,0.7967010266025536,0.8049645390070922,0.6666666666666666,0.543053295773626,0.5851063829787234,0.7746478873239436,16,0.0851063829787234
kmeans,2,SVM,0.8713784517881394,0.7939260265847673,0.776595744680851,0.5531914893617021,0.470977523854865,0.4148936170212766,0.8297872340425532,8,0.0425531914893617
kmeans,2,Random Forest,0.8796966953372567,0.7989582502867102,0.7553191489361702,0.46511627906976744,0.4182781638157117,0.3191489361702128,0.8571428571428571,5,0.026595744680851064
kmeans,2,Decision Tree,0.7262335898596649,0.6468271466236908,0.7375886524822695,0.5256410256410257,0.3693241032685681,0.43617021276595747,0.6612903225806451,21,0.11170212765957446
kmeans,2,KNN,0.7277897238569488,0.712619014316842,0.776595744680851,0.5594405594405595,0.46985878396368064,0.425531914893617,0.8163265306122449,9,0.047872340425531915
kmeans,2,XGBoost,0.8622114078768675,0.7763107993211366,0.8085106382978723,0.6785714285714286,0.5528524125124082,0.6063829787234043,0.7702702702702703,17,0.09042553191489362
kmeans,3,Logistic Regression,0.8540629244001811,0.7954788338555164,0.8191489361702128,0.6751592356687898,0.5779149150646159,0.5638297872340425,0.8412698412698413,10,0.05319148936170213
kmeans,3,SVM,0.8718877320054323,0.7903318740188451,0.8120567375886525,0.6442953020134228,0.5632234590264839,0.5106382978723404,0.8727272727272727,7,0.03723404255319149
kmeans,3,Random Forest,0.9042836124943413,0.8537752137599546,0.8120567375886525,0.6187050359712231,0.5751536210124327,0.4574468085106383,0.9555555555555556,2,0.010638297872340425
kmeans,3,Decision Tree,0.7391070620190132,0.6818852654014544,0.7588652482269503,0.6136363636363636,0.44172610429938614,0.574468085106383,0.6585365853658537,28,0.14893617021276595
kmeans,3,KNN,0.7397578089633319,0.7491426909632473,0.7730496453900709,0.5,0.4774318553161155,0.3404255319148936,0.9411764705882353,2,0.010638297872340425
kmeans,3,XGBoost,0.8762449071978271,0.8096842452735522,0.7872340425531915,0.6052631578947368,0.4962916669854651,0.48936170212765956,0.7931034482758621,12,0.06382978723404255
kmeans,4,Logistic Regression,0.8592406066093254,0.8019047547044544,0.8226950354609929,0.691358024691358,0.5861700965403002,0.5957446808510638,0.8235294117647058,12,0.06382978723404255
kmeans,4,SVM,0.8791874151199639,0.7924140210508,0.7943262411347518,0.5915492957746479,0.5204164998665332,0.44680851063829785,0.875,6,0.031914893617021274
kmeans,4,Random Forest,0.8729911724762336,0.7953973578611162,0.7801418439716312,0.5230769230769231,0.49591829906708773,0.3617021276595745,0.9444444444444444,2,0.010638297872340425
kmeans,4,Decision Tree,0.7706824354911724,0.6676089464589348,0.75177304964539,0.5333333333333333,0.40226916412341523,0.425531914893617,0.7142857142857143,16,0.0851063829787234
kmeans,4,KNN,0.7614588048890901,0.7683736999684605,0.7695035460992907,0.5038167938931297,0.46046093120603215,0.35106382978723405,0.8918918918918919,4,0.02127659574468085
kmeans,4,XGBoost,0.8705013580805794,0.8033110528265525,0.8226950354609929,0.6875,0.5863019699779287,0.5851063829787234,0.8333333333333334,11,0.05851063829787234
kmeans,5,Logistic Regression,0.8493379357175191,0.7716414514644149,0.8085106382978723,0.6582278481012658,0.5507501140021621,0.5531914893617021,0.8125,12,0.06382978723404255
kmeans,5,SVM,0.8673890900860118,0.8005189260622233,0.8049645390070922,0.6308724832214765,0.5442383986098608,0.5,0.8545454545454545,8,0.0425531914893617
kmeans,5,Random Forest,0.8950882752376641,0.8292699750395054,0.8085106382978723,0.6301369863013698,0.5560551451202621,0.48936170212765956,0.8846153846153846,6,0.031914893617021274
kmeans,5,Decision Tree,0.748924852874604,0.6714148077913452,0.7553191489361702,0.5174825174825175,0.4102992197992704,0.39361702127659576,0.7551020408163265,12,0.06382978723404255
kmeans,5,KNN,0.7312415119963784,0.7266784785302471,0.7978723404255319,0.6068965517241379,0.5276900958710204,0.46808510638297873,0.8627450980392157,7,0.03723404255319149
kmeans,5,XGBoost,0.8469895880488909,0.7690063661676411,0.7836879432624113,0.5734265734265734,0.48971197201848404,0.43617021276595747,0.8367346938775511,8,0.0425531914893617
