Strategy,Fold,Model,ROC-AUC,PRC-AUC,Accuracy,F1 Score,MCC,Recall,Precision,False Positives,False Positive Rate
random,1,Logistic Regression,0.8101516523313717,0.7136447158956005,0.7943262411347518,0.6741573033707865,0.5263613559678152,0.6382978723404256,0.7142857142857143,24,0.1276595744680851
random,1,SVM,0.8173947487550929,0.749142440595712,0.8014184397163121,0.654320987654321,0.5334147878516732,0.5638297872340425,0.7794117647058824,15,0.0797872340425532
random,1,Random Forest,0.8662290629244002,0.8082361138194427,0.8226950354609929,0.691358024691358,0.5861700965403002,0.5957446808510638,0.8235294117647058,12,0.06382978723404255
random,1,Decision Tree,0.7460955183340878,0.6956250965530001,0.7411347517730497,0.6331658291457286,0.43569543086263396,0.6702127659574468,0.6,42,0.22340425531914893
random,1,KNN,0.764231552738796,0.7143327380758079,0.776595744680851,0.5401459854014599,0.4743083132153702,0.39361702127659576,0.8604651162790697,6,0.031914893617021274
random,1,XGBoost,0.8574015391579901,0.7499876375334937,0.8404255319148937,0.7428571428571429,0.6317559128681675,0.6914893617021277,0.8024691358024691,16,0.0851063829787234
random,2,Logistic Regression,0.7915063377093707,0.7048036757008457,0.7588652482269503,0.6,0.4351463259493584,0.5425531914893617,0.6710526315789473,25,0.13297872340425532
random,2,SVM,0.8239305115436848,0.7324966029151733,0.7872340425531915,0.6103896103896104,0.4962698699133202,0.5,0.7833333333333333,13,0.06914893617021277
random,2,Random Forest,0.8451788139429606,0.774916324477248,0.7907801418439716,0.6143790849673203,0.5054991355062517,0.5,0.7966101694915254,12,0.06382978723404255
random,2,Decision Tree,0.6787573562698055,0.6174206571379215,0.7056737588652482,0.5743589743589743,0.3503965573289761,0.5957446808510638,0.5544554455445545,45,0.2393617021276596
random,2,KNN,0.7861871887732005,0.7213991746181905,0.7624113475177305,0.4806201550387597,0.44109333638747783,0.32978723404255317,0.8857142857142857,4,0.02127659574468085
random,2,XGBoost,0.8123868266183794,0.7046981562249545,0.7659574468085106,0.6162790697674418,0.4540541359475109,0.5638297872340425,0.6794871794871795,25,0.13297872340425532
random,3,Logistic Regression,0.7773313716613852,0.6765420148582715,0.7872340425531915,0.6428571428571429,0.5015568278463085,0.574468085106383,0.7297297297297297,20,0.10638297872340426
random,3,SVM,0.7809529198732459,0.750782301619203,0.8120567375886525,0.6535947712418301,0.5609807479398647,0.5319148936170213,0.847457627118644,9,0.047872340425531915
random,3,Random Forest,0.7890448166591217,0.7318855357950265,0.7943262411347518,0.6081081081081081,0.516185401208764,0.4787234042553192,0.8333333333333334,9,0.047872340425531915
random,3,Decision Tree,0.7194997736532367,0.6285648436412323,0.7269503546099291,0.6010362694300518,0.39400626128204935,0.6170212765957447,0.5858585858585859,41,0.21808510638297873
random,3,KNN,0.7924966047985513,0.7375130105869252,0.776595744680851,0.5333333333333333,0.47660583520727917,0.3829787234042553,0.8780487804878049,5,0.026595744680851064
random,3,XGBoost,0.7999094612947034,0.7183908424323533,0.7943262411347518,0.6233766233766234,0.5146502354656655,0.5106382978723404,0.8,12,0.06382978723404255
random,4,Logistic Regression,0.8130941602535083,0.7278995376332382,0.7730496453900709,0.6144578313253012,0.4657942525560891,0.5425531914893617,0.7083333333333334,21,0.11170212765957446
random,4,SVM,0.7877716161158895,0.6847862194176898,0.7624113475177305,0.54421768707483,0.4300353220171773,0.425531914893617,0.7547169811320755,13,0.06914893617021277
random,4,Random Forest,0.8161781349026709,0.7534981566454585,0.7978723404255319,0.6068965517241379,0.5276900958710204,0.46808510638297873,0.8627450980392157,7,0.03723404255319149
random,4,Decision Tree,0.6426833408782255,0.6038275461401028,0.75177304964539,0.5333333333333333,0.40226916412341523,0.425531914893617,0.7142857142857143,16,0.0851063829787234
random,4,KNN,0.7649105930285196,0.6625665326465981,0.7411347517730497,0.45925925925925926,0.3699030362802764,0.32978723404255317,0.7560975609756098,10,0.05319148936170213
random,4,XGBoost,0.7903463105477592,0.7197857241085698,0.7801418439716312,0.6025641025641025,0.4783049862002767,0.5,0.7580645161290323,15,0.0797872340425532
random,5,Logistic Regression,0.7994567677682208,0.7227335750777468,0.7695035460992907,0.6242774566473989,0.46344855238027605,0.574468085106383,0.6835443037974683,25,0.13297872340425532
random,5,SVM,0.7983816206428248,0.738694912207574,0.7801418439716312,0.5866666666666667,0.4776946323965556,0.46808510638297873,0.7857142857142857,12,0.06382978723404255
random,5,Random Forest,0.8199694431869625,0.765955373090001,0.8049645390070922,0.6308724832214765,0.5442383986098608,0.5,0.8545454545454545,8,0.0425531914893617
random,5,Decision Tree,0.7259506564056135,0.656943845776059,0.7588652482269503,0.5641025641025641,0.4238145447344224,0.46808510638297873,0.7096774193548387,18,0.09574468085106383
random,5,KNN,0.7821695337256678,0.7425152585150312,0.7943262411347518,0.5735294117647058,0.5282214092053229,0.4148936170212766,0.9285714285714286,3,0.015957446808510637
random,5,XGBoost,0.8119058397464917,0.7195410963849413,0.7801418439716312,0.6309523809523809,0.4844582996242752,0.5638297872340425,0.7162162162162162,21,0.11170212765957446
